,Posisi,Nama Perusahaan,Lokasi Magang,Kuota,Tunjangan,Program Studi,Hari Libur,URL
4721,Web Developer (Full-Stack),Sekretariat Badan Penyuluhan dan Pengembangan SDM Kelautan dan Perikanan,Kota Adm. Jakarta Pusat,1 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/web-developer-full-stack-a243e041-9b44-49e3-be0e-7d3457a08865
4730,Asisten Pranata Komputer,BPS Kabupaten Langkat,Kab. Langkat,1 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a240e2ac-f3d5-4721-8d8a-c4497e4c0ddb
4740,Asisten Pranata Komputer,BPS Kabupaten Langkat,Kab. Langkat,1 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a240e2ac-f3d5-4721-8d8a-c4497e4c0ddb
4744,Asisten Statistisi,BPS Kabupaten Tulangbawang,Kab. Tulang Bawang,2 kuota,,"Sains Data, Ilmu Komputer, Ekonomi, Sistem Informasi, Statistika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a240dfad-5e64-408f-a594-245bb7fed8bc
4747,Asisten Pranata Komputer,BPS Kabupaten Pesisir Barat,Kab. Pesisir Barat,3 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a240e08e-f8b3-424e-b62f-fb37201fe153
4761,Asisten Pranata Komputer,BPS Kabupaten Kerinci,Kab. Kerinci,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a240d601-123c-4409-8ab8-1c8401336fd3
4765,Asisten Statistisi,BPS Kabupaten Pesisir Barat,Kab. Pesisir Barat,3 kuota,,"Sains Data, Ilmu Komputer, Aktuaria, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a240d9d7-36e4-4493-a53e-19b36e4e69f6
4771,Asisten Publisitas dan Kehumasan,BPS Kabupaten Hulu Sungai Tengah,Kab. Hulu Sungai Tengah,1 kuota,,"Teknologi Informasi, Ilmu Komputer, Jurnalistik, Ilmu Komunikasi, Desain Grafis","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-publisitas-dan-kehumasan-a240b8e1-e6c9-468a-8a22-43f93ea6cc50
4778,Asisten Statistisi,BPS Kabupaten Hulu Sungai Tengah,Kab. Hulu Sungai Tengah,3 kuota,,"Teknologi Informasi, Ilmu Komputer, Ekonomi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a240cb83-8c65-4ee8-9250-7527e947907d
4782,Asisten Pengelola BMN,BPS Kabupaten Hulu Sungai Tengah,Kab. Hulu Sungai Tengah,1 kuota,,"Ilmu Komputer, Manajemen, Administrasi, Manajemen Aset Publik, Akuntansi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pengelola-bmn-a240caac-81bd-4b02-a299-2462db8c4b70
4783,Asisten Pranata Komputer,BPS Kabupaten Minahasa Tenggara,Kab. Minahasa Tenggara,2 kuota,,"Ilmu Komputer, Teknologi Rekayasa Komputer, Rekayasa Perangkat Lunak, Sistem Informasi, Teknik informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23fd68f-ba70-44d9-9542-57aef139105b
4794,Asisten Pranata Komputer,BPS Kabupaten Minahasa Tenggara,Kab. Minahasa Tenggara,2 kuota,,"Ilmu Komputer, Teknologi Rekayasa Komputer, Rekayasa Perangkat Lunak, Sistem Informasi, Teknik informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23fd68f-ba70-44d9-9542-57aef139105b
4802,Asisten Pranata Komputer,BPS Kabupaten Serang,Kab. Serang,3 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f8de1-e97e-4432-8c20-aae73eb8a8d4
4803,Staf Umum,BPS Kabupaten Musi Banyuasin,Kab. Musi Banyuasin,2 kuota,,"Ekonomi Pembangunan, Ilmu Komputer, Manajemen, Psikologi, Ilmu Pemerintahan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staf-umum-a23f8e93-bc94-46f2-817e-c4a124fe17ff
4807,Staf Umum,BPS Kabupaten Musi Banyuasin,Kab. Musi Banyuasin,2 kuota,,"Ekonomi Pembangunan, Ilmu Komputer, Manajemen, Psikologi, Ilmu Pemerintahan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staf-umum-a23f8e93-bc94-46f2-817e-c4a124fe17ff
4821,Asisten Pengelola BMN,BPS Kabupaten Musi Banyuasin,Kab. Musi Banyuasin,2 kuota,,"Ilmu Komputer, Manajemen, Administrasi Publik, Akuntansi, Manajemen Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pengelola-bmn-a23f8d43-4d3b-4051-965d-4576862cf638
4826,Asisten Pranata Komputer,BPS Kabupaten Serang,Kab. Serang,3 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f8de1-e97e-4432-8c20-aae73eb8a8d4
4827,Asisten Pranata Komputer,BPS Kabupaten Nunukan,Kab. Nunukan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Sains Data, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23fc461-abe3-40e8-99be-e8d7c54659ef
4836,Asisten Pranata Komputer,BPS Kabupaten Pesisir Selatan,Kab. Pesisir Selatan,2 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi Geografis","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f7d32-0e68-4fef-b04f-3786b5dedc5f
4843,Asisten Statistisi,BPS Kabupaten Solok,Kab. Solok,1 kuota,,"Sains Data, Ilmu Komputer, Aktuaria, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a23f70b0-fb4e-489a-bc44-893a31ddde95
4858,Asisten Pranata Komputer,BPS Kabupaten Pesisir Selatan,Kab. Pesisir Selatan,2 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi Geografis","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f7d32-0e68-4fef-b04f-3786b5dedc5f
4866,Asisten Pranata Komputer,BPS Kabupaten Pesisir Selatan,Kab. Pesisir Selatan,2 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi Geografis","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f7d32-0e68-4fef-b04f-3786b5dedc5f
4886,Programmer / Software Develope,Sekretariat BPSDM,Kota Adm. Jakarta Selatan,3 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/programmer--software-develope-a243ad8c-c202-4cba-b885-67e5bbb42359
4888,Data Science / Data Analyst,Sekretariat BPSDM,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem informasi, Statistika, Sains Data Terapan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/data-science--data-analyst-a243ac03-3b3f-45d7-9cf7-40e1257fafa5
4891,Cyber Security Analyst,Sekretariat BPSDM,Kota Adm. Jakarta Selatan,1 kuota,,"Informatika, Teknologi Informasi, Ilmu Komputer, Keamanan Sistem Informasi, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/cyber-security-analyst-a243aacb-87db-4b92-8329-5f90dfe33c4d
4892,Analis SDM Aparatur,Sekretariat BPSDM,Kota Adm. Jakarta Selatan,5 kuota,,"Ilmu Komputer, Manajemen, Ilmu Administrasi Negara, Administrasi Publik, Hukum","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/analis-sdm-aparatur-a243af41-22d1-4261-b02e-3503f2654ead
4897,Staf IT,Kantor Balai Penegakan Hukum Lingkungan Hidup Kota Jambi,Kota Jambi,1 kuota,,"Teknik Informatika, Ilmu Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staf-it-a241d417-e962-4117-9800-375ab9e48268
4903,Asisten Pranata Komputer,BPS Kabupaten Mojokerto,Kab. Mojokerto,1 kuota,,"Teknologi Rekayasa Perangkat Lunak, Informatika, Ilmu Komputer, Sistem Komputer, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2412f7b-f549-4d4c-a8ac-c3f231055fe8
4925,Asisten Pranata Komputer,BPS Kabupaten Tulang Bawang Barat,Kab. Tulang Bawang Barat,2 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Sistem Informasi, Teknik Komputer Dan Jaringan","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2412b29-3670-474d-b55a-4261105bd1eb
4932,Asisten Pranata Komputer,BPS Kabupaten Situbondo,Kab. Situbondo,1 kuota,,"Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Komputer, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2411734-bc1b-420f-9d89-2d459206d73d
4935,Asisten Pranata Komputer,BPS Kabupaten Merangin,Kab. Merangin,1 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Komputasi Statistik, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2411791-61da-496f-838b-0c26f7cef6b6
4955,Asisten Statistisi,BPS Kabupaten Merangin,Kab. Merangin,1 kuota,,"Sains Data, Ilmu Komputer, Aktuaria, Statistika, Matematika","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a24115ad-737d-4fd9-964d-8a0d6d0f7304
4958,Asisten Statistisi,BPS Kabupaten Manggarai,Kab. Manggarai,2 kuota,,"Sains Data, Ilmu Komputer, Aktuaria, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a2411318-e84c-46be-8b19-02b8b64e093c
4960,Asisten Pranata Komputer,BPS Kabupaten Tangerang,Kab. Tangerang,1 kuota,,"Teknologi Informasi, Ilmu Komputer, Teknik informatika, sistem informasi, Teknik Komputer dan Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a240fc9a-05ad-429c-97e4-9f33478667ce
4976,Asisten Statistisi,BPS Kabupaten Tangerang,Kab. Tangerang,4 kuota,,"Sains Data, Ilmu Komputer, Ilmu Ekonomi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a240f864-381e-44f8-8f6c-161e089ca5ab
4980,Asisten Statistisi,BPS Kabupaten Malaka,Kab. Malaka,1 kuota,,"Ilmu Komputer, Ekonomi, Teknik informatika, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a240f931-745b-4cb8-a4c6-08d5c28ba0e9
4982,Asisten Pranata Komputer,BPS Kabupaten Konawe Utara,Kab. Konawe Utara,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a240f017-7278-4f95-9769-d58d37e97fd8
4987,Asisten Pranata Komputer,BPS Kabupaten Ogan Komering Ulu Selatan,Kab. Ogan Komering Ulu Selatan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem dan Teknologi Informasi, Sistem Informasi, Teknik Komputer Dan Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a240e50c-31b0-4282-8159-0e4186680aeb
5026,Staf IT,Pusat Pengembangan Sumber Daya Manusia Ekspor dan Jasa Perdagangan,Kota Adm. Jakarta Barat,1 kuota,,"Informatika, Ilmu Komputer, Teknologi Pendidikan, Sistem Informasi, Pendidikan Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staf-it-a241726c-a9ee-454e-b1d3-090cd0630e2d
5029,Asisten Pengelolaan Sistem Informasi,Pusat Pengembangan Sumber Daya Manusia,Kab. Bogor,1 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi, Manajemen Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pengelolaan-sistem-informasi-a2431861-ac02-454d-b3ee-24f12d7f2c30
5031,Staf Bidang Informasi Publik dan Hubungan Masyarakat,Pusat Pengembangan Sumber Daya Manusia Ekspor dan Jasa Perdagangan,Kota Adm. Jakarta Barat,4 kuota,,"Ilmu Komputer, Ilmu Komunikasi, Desain Komunikasi Visual, Desain Grafis","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staf-bidang-informasi-publik-dan-hubungan-masyarakat-a2417a77-ddb0-4b05-9dc9-d70f04dce1fe
5037,Asisten Penelaah Teknis Kebijakan pada Subpokja Standarisasi Pengembangan SDM,Pusat Pengembangan Sumber Daya Manusia Minyak dan Gas Bumi,Kab. Blora,2 kuota,,"Multimedia, Ilmu Komputer, Teknologi Pendidikan, Desain Komunikasi Visual, Pendidikan Teknologi Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-penelaah-teknis-kebijakan-pada-subpokja-standarisasi-pengembangan-sdm-a2415d3a-e609-4afb-8639-d4984891b22b
5040,"Staf Bidang Pengembangan Program, Kurikulum dan Evaluasi Pelatihan","Balai Pelatihan Sumber Daya Manusia Metrologi, Mutu, dan Jasa Perdagangan",Kab. Bandung Barat,2 kuota,,"Informatika, Ilmu Komputer, Teknologi Pendidikan, Sistem Informasi, Desain Komunikasi Visual","Sabtu, Minggu","https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staf-bidang-pengembangan-program,-kurikulum-dan-evaluasi-pelatihan-a2420a60-4439-43ed-ac75-2122447ac637"
5061,Asisten Pranata Komputer,BPS Kabupaten Ogan Ilir,Kab. Ogan Ilir,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2416e41-bfc1-423e-a61d-373319903f81
5068,Asisten Pranata Komputer,BPS Kabupaten Pulang Pisau,Kab. Pulang Pisau,2 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Sistem informasi, Teknik Sipil","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2415ef0-048e-4b75-a1b2-c965d2d56cfe
5071,Asisten Pranata Komputer,BPS Kabupaten Pulang Pisau,Kab. Pulang Pisau,1 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Teknik Sipil, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2415e25-1dd1-450b-889e-da47c24bdd1a
5072,Asisten Pranata Komputer,BPS Kabupaten Pringsewu,Kab. Pringsewu,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Keamanan Siber, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2415dc3-3fab-4c55-8fa5-762024b7ad38
5078,Asisten Pranata Komputer,BPS Kabupaten Pringsewu,Kab. Pringsewu,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Keamanan Siber, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2415dc3-3fab-4c55-8fa5-762024b7ad38
5090,Asisten Statistisi,BPS Kabupaten Padang Pariaman,Kab. Padang Pariaman,2 kuota,,"Sains Data, Ilmu Komputer, sistem informasi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a241563a-9643-40c7-a65a-740b97efe514
5091,Asisten Statistisi,BPS Kabupaten Pringsewu,Kab. Pringsewu,1 kuota,,"Sains Data, Ilmu Komputer, Ekonomi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a241588b-6734-4f86-b998-6beeeaf058e1
5104,Asisten Pranata Komputer,BPS Kabupaten Mesuji,Kab. Mesuji,2 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Sistem informasi, Teknik Robotika dan Kecerdasan Buatan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a241440e-061b-44bd-9c1a-0df0d613fbb1
5106,Asisten Statistisi,BPS Kabupaten Kutai Timur,Kab. Kutai Timur,5 kuota,,"Ilmu Komputer, Ekonomi, sistem informasi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a2414d5a-936f-436d-9d71-70e8f26c7cf2
5109,Asisten Statistisi,BPS Kabupaten Mesuji,Kab. Mesuji,2 kuota,,"Informatika, Ilmu Komputer, Ekonomi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a241438b-a404-4fca-8772-fe613b9857da
5112,Asisten Statistisi,BPS Kabupaten Mesuji,Kab. Mesuji,2 kuota,,"Informatika, Ilmu Komputer, Ekonomi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a241438b-a404-4fca-8772-fe613b9857da
5116,Asisten Statistisi,BPS Kabupaten Kutai Timur,Kab. Kutai Timur,5 kuota,,"Ilmu Komputer, Ekonomi, sistem informasi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a2414d5a-936f-436d-9d71-70e8f26c7cf2
5124,Asisten Publisitas dan Kehumasan,BPS Kabupaten Mesuji,Kab. Mesuji,2 kuota,,"Multimedia, Ilmu Komputer, Komunikasi, Jurnalistik, Desain Grafis","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-publisitas-dan-kehumasan-a2413e02-f1d3-4b03-befa-61dd1c97d6d0
5126,Asisten Statistisi,BPS Kabupaten Hulu Sungai Selatan,Kab. Hulu Sungai Selatan,1 kuota,,"Sains Data, Ilmu Komputer, Sistem Informasi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a2413f0d-fcff-46e7-b373-d8e5c4a0291a
5130,Staf Umum,BPS Kabupaten Mesuji,Kab. Mesuji,1 kuota,,"Ilmu Komputer, Komunikasi, Manajemen, Administrasi, Teknik Elektro","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staf-umum-a2413ff9-49b0-4e4d-aeac-d2c9b6c93105
5131,Asisten Statistisi,BPS Kabupaten Hulu Sungai Selatan,Kab. Hulu Sungai Selatan,1 kuota,,"Sains Data, Ilmu Komputer, Sistem Informasi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a2413f0d-fcff-46e7-b373-d8e5c4a0291a
5132,Asisten Pranata Komputer,BPS Kabupaten Takalar,Kab. Takalar,2 kuota,,"Teknik Informatika, Ilmu Komputer, Teknik Elektro, Rekayasa Keamanan Siber, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2413e91-1eec-486b-8a69-74bd4a454292
5133,Asisten Pranata Komputer,BPS Kabupaten Gunungkidul,Kab. Gunungkidul,1 kuota,,"Teknik Informatika, Ilmu Komputer, Teknologi Rekayasa Komputer, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2413dd4-9379-4706-b83a-983c9baaf065
5145,Asisten Statistisi,BPS Kabupaten Sukamara,Kab. Sukamara,2 kuota,,"Informatika, Ilmu Komputer, Ekonomi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a241325d-d05b-45c9-9dc3-e19c9d555696
5148,Asisten Pranata Komputer,BPS Kabupaten Sukamara,Kab. Sukamara,1 kuota,,"Teknik Informatika, Teknologi Informasi, Sains Data, Ilmu Komputer, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2413344-d28f-43b1-9551-8e25de91a7b8
5288,Asisten Pranata Komputer,BPS Kabupaten Musi Rawas Utara,Kab. Musi Rawas Utara,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a24210eb-5756-4ac4-b8ee-6f4c99b77041
5296,Asisten Statistisi,BPS Kabupaten Wakatobi,Kab. Wakatobi,2 kuota,,"Sains Data, Ilmu Komputer, Statistik, Sistem informasi, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a241d0c5-1a23-4a0d-a0ea-36a997578591
5301,Asisten Pranata Komputer,BPS Kabupaten Konawe,Kab. Konawe,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Teknik Robotika dan Kecerdasan Buatan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a241de02-67ca-4f67-a1e2-9b3d0a4d6f1b
5305,Asisten Pranata Komputer,BPS Kabupaten Wakatobi,Kab. Wakatobi,2 kuota,,"Sains Data, Ilmu Komputer, Teknik informatika, Sistem informasi, Teknik Robotika dan Kecerdasan Buatan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a241cfde-19a5-4f43-a85d-e52ded25e0c4
5307,Asisten Pranata Komputer,BPS Kabupaten Sampang,Kab. Sampang,1 kuota,,"Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Komputer, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a241d3f7-8be2-46ba-aad1-378640bd416d
5312,Asisten Statistisi,BPS Kabupaten Wakatobi,Kab. Wakatobi,2 kuota,,"Sains Data, Ilmu Komputer, Statistik, Sistem informasi, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a241d0c5-1a23-4a0d-a0ea-36a997578591
5314,Asisten Pranata Komputer,BPS Kabupaten Konawe,Kab. Konawe,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Teknik Robotika dan Kecerdasan Buatan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a241de02-67ca-4f67-a1e2-9b3d0a4d6f1b
